question,answer,category,subcategory,setName,questionNumber,difficulty,setYear
Alfvéns (all-VANEs) theorem uses the idealized form of this law to prove that magnetic field lines exactly coincide with the streamlines in a plasma. In a common analogy this equation is compared to Fouriers law for heat transport and Ficks law for mass transport. The three different expressions for Joule heating are interchangeable by using this equation. This equation states that the current density is proportional to the gradient of electric potential or alternatively the product of (*) conductivity and the electric field. After applying Kirchhoffs loop and junction rules to reduce a circuit you can use this equation to predict the current through a battery. For 10 points identify this equation often written as V equals IR whose German namesake also identifies the SI unit of resistance.,Ohms law,Science,Physics,2017 PACE NSC,21,5,2017
Revolving rivers are formed by depositing this solid material onto a base that undergoes rotation. Hard stabilization techniques are designed to prevent the movement of this material; such techniques include using large rocks to build groins that run parallel to each other. A ridge of this material comprises a tombolo which connects an island to the mainland. Engineers will often build breakwaters and (*) jetties to prevent the movement of this substance which is often accumulated onto a namesake spit through longshore drift. Technically this term refers to a material whose grain size is finer than a pebble but is coarser than silt. Particles of this substance are comprised of mostly silicon dioxide. For 10 points name this substance often found at beaches.,sand,Science,Other Science,2017 PACE NSC,21,5,2017
In a 1976 experiment that exactly recapitulated theory Robert Trivers and Hope Hare found that these individuals weighed almost exactly three times as much as their counterparts. The green-beard effect was discovered in a study of how these individuals fitness depended on their genotype. These individuals secrete 9ODA from their mandibular glands to suppress development of the corpora allata. E.O. Wilson has extensively outlined (*) social structures in which these individuals undergo a nuptial flight and are diploid but reproduce to form offspring that are mostly haploid. In many eusocial animals like naked mole rats these individuals are the only ones who reproduce. For 10 points name these dominant females in ant and bee colonies.,queen ants [or queen bees; or other specific animals; prompt on females or similar answers; prompt on insects],Science,Biology,2017 PACE NSC,10,5,2017
Minkowskis taxicab geometry created a version of this quantity named for Manhattan. In the calculus of variations the smallest value of this quantity for distinct objects is the geodesic. A graph-theoretic notion of this quantity counts the number of edges in a shortest path between two graphs. A metric space is a set in which this notion can be quantified and on those spaces this notion must satisfy non-negativity symmetry and the (*) triangle inequality. In Euclidean geometry this quantity for points x and y can be represented as the norm of x minus y which can otherwise be written as the square root of the sum of squared differences between each component of two vectors a and b. For 10 points name this quantity the separation between two points in space.,distance [or displacement; or length; prompt on norm until graph-theoretic is read; accept metric until read],Science,Physics,2017 PACE NSC,8,5,2017
SecM (seck-M) binds to these structures and stalls their ratcheting mechanism. A crystal structure by Venki Ramakrishnan helped prove that these structures exit tunnels dock with the translocon. These structures bind to IRES (EYE-ress) sequences in eukaryotes and to namesake sites immediately five-prime to the coding sequence in prokaryotes. The 50S and 30S subunits of these structures in bacteria are usually just labelled (*) large and small. Tetracycline binds these structures and prevents their A sites from binding an amino·acyl-tRNA at the anticodon loop. These structures are synthesized by the nucleolus from a mix of protein and a namesake type of RNA. For 10 points name these organelles that stud the rough ER the site of protein synthesis.,ribosomes [or ribosomal RNA],Science,Biology,2017 PACE NSC,4,5,2017
In a coordinate system devised by the IAU in 1958 the distribution of neutral hydrogen emissions was used to determine the equator of this structure. The exact number of globular clusters in this structure cannot be precisely known because some of them are obscured by this structures Zone of Avoidance. Harlow Shapley argued that spiral nebulae were merely extensions of this structure during the Great Debate with Heber Curtis. This structure which is the second-largest member of the (*) Local Group is orbited by the Large and Small Magellanic Clouds. A supermassive black hole sometimes called Sagittarius A-star lies at the center of this structure which will eventually collide with Andromeda. For 10 points name this galaxy whose planets include Earth.,Milky Way,Science,Other Science,2017 PACE NSC,12,5,2017
This adjectives namesake number is specified by a sum that includes the Euler–Mascheroni (mask-uh-ROH-nee) constant. If the Laplacian of a real-valued function equals zero then that function is named for this adjective. It is used as a noun when denoting the angular part of the set of solutions to Laplaces equation in spherical coordinates. This term names an expression whose divergence can famously be proven via a medieval method in which every term is compared to a smaller term that is a reciprocal of a power of two. This words namesake (*) analysis describes the mathematical modelling of overlapping waves such as in music where it describes small-integer note ratios. For 10 points give this adjective used to describe the series the summation where n goes from one to infinity of one-over-n.,harmonic [accept harmonic number or harmonic function or spherical harmonics or harmonic series or harmonic analysis],Science,Math,2017 PACE NSC,14,5,2017
This scientist is often credited with devising a problem in which a customer either stays in a waiting room or tries to wake up the namesake person if no one else is getting a haircut. That sleeping barber problem can be solved by incrementing and decrementing a special kind of variable this scientist developed that guarantees mutual exclusion and protects against race conditions. This creator of (*) semaphores made an algorithm which is essentially a version of the A-star algorithm in which the heuristic function is set to zero; that algorithm named for this scientist only works if the edge weights of its input graph are non-negative. The shortest path from a single point to all possible endpoints is given by for 10 points what Dutch computer scientists namesake pathfinding algorithm?,Edsger Dijkstra(DIKE-struh) [accept Dijkstras algorithm],Science,Other Science,2017 PACE NSC,5,5,2017
Roger Tsien (tsee-EN) designed a GFP variant called Cameleon that senses this element. Parvalbumin and other proteins that bind this element have a motif that looks like a hand. In humans mineralization refers to the binding of this element to phosphates. When this element binds troponin it opens up spots for myosin to form crossbridges. Protein kinase C signaling is activated by this (*) secondary messenger which accumulates in the sarcoplasmic reticulum in cells. Influx of this element at a synapse stimulates acetylcholine release and muscle contraction. All forms of vitamin D are named for this element levels of which are controlled in the body by parathyroid hormone to activate osteoblasts and osteoclasts. For 10 points name this metal required for bone formation.,calcium [or Ca2+],Science,Biology,2017 PACE NSC,12,5,2017
Russell Schaedler names a group of eight common bacterial species that live in this habitat. Model species found in this habitat include theta·iota·omicron and fragilis from the Bacteroides genus. Barry Marshall won a Nobel Prize essentially for drinking a culture of a spiral bacterium discovered in this habitat. Bacteria here convert phylloquinone to menaquinone and ferment inulin into short-chain fatty acids. (*) H. pylori was discovered in this habitat. Bacteria that live in this place the most diverse part of the microbiota are called flora and form a signalling axis with the brain. Ruminants use bacteria that colonize this habitat to hydrolyze cellulose. For 10 points name this habitat of commensal bacteria that are transplanted during fecal replacements.,human gut [or human intestines; or gastrointestinal tract; or GI tract; or human stomach; or digestive system; or small intestines; or large intestines; or gut microbiome; or gut flora; or colon; prompt on human body or similar answers; prompt on animal bodies],Science,Biology,2017 PACE NSC,6,5,2017
